Designator,Mid X,Mid Y,Rotation,Layer
LED49,45.24925597912401,-128.50143313136036,207.5,top
LED5,123.62113405609959,-42.973534871440606,67.5,top
LED50,42.973534871440606,-123.62113405609959,202.5,top
LED51,41.13182116145577,-118.56106490513633,197.5,top
LED52,39.73812840195798,-113.35973510616702,192.5,top
LED53,38.8030653368778,-108.05672829713949,187.5,top
LED54,38.33374826093501,-102.69240666847452,182.5,top
LED55,38.33374826093501,-97.30759233152547,177.5,top
LED56,38.8030653368778,-91.94327070286052,172.5,top
LED57,39.73812840195798,-86.64026389383298,167.5,top
LED58,41.13182116145577,-81.43893409486367,162.5,top
LED59,42.973534871440606,-76.37886494390041,157.5,top
LED6,128.50143313136036,-45.24925597912401,62.5,top
LED60,45.24925597912401,-71.49856586863963,152.5,top
LED61,47.94166264759854,-66.83518139229538,147.5,top
LED62,51.03026416858009,-62.424200392977404,142.5,top
LED63,54.491556267622784,-58.299194307094304,137.5,top
LED64,58.299194307094304,-54.491556267622784,132.5,top
LED65,62.424200392977404,-51.03026416858009,127.5,top
LED66,66.83518139229538,-47.94166264759854,122.5,top
LED67,71.49856586863963,-45.24925597912401,117.5,top
LED68,76.37886494390041,-42.973534871440606,112.5,top
LED69,81.43893409486367,-41.13182116145577,107.5,top
LED7,133.16481760770463,-47.94166264759854,57.5,top
LED70,86.64026389383298,-39.73812840195798,102.5,top
LED71,91.94327070286052,-38.8030653368778,97.5,top
LED72,97.30759233152547,-38.33374826093501,92.5,top
LED8,137.57579860702262,-51.03026416858009,52.5,top
LED9,141.7008046929057,-54.491556267622784,47.5,top
M1,109.975,-123.9,0.0,top
Q1,104.0,-133.5,270.0,top
Q2,108.0,-133.5,90.0,top
Q3,112.2,-120.3,270.0,top
R1,99.5,-136.65,0.0,top
R10,81.5,-112.2,0.0,top
R11,81.5,-109.8,0.0,top
R12,133.1,-123.95,0.0,bottom
R13,133.1,-98.7,180.0,bottom
R14,141.35,-108.7,90.0,bottom
R15,77.6,-94.3,0.0,top
R18,141.8,-92.1,180.0,bottom
R19,139.1,-111.95,90.0,bottom
R2,99.5,-133.0,0.0,top
R20,136.1,-111.95,90.0,bottom
R21,130.3,-126.7,0.0,top
R22,62.0,-101.6,180.0,top
R25,113.0,-130.75,180.0,top
R26,119.5,-134.5,270.0,top
R27,122.5,-134.5,90.0,top
R28,76.8,-72.9,0.0,bottom
R3,94.25,-134.5,180.0,top
R31,113.9,-124.2,0.0,top
R32,122.05,-115.2,0.0,top
R33,133.0,-122.5,0.0,bottom
R34,121.2,-112.8,135.0,bottom
R4,94.25,-131.25,0.0,top
R5,83.75,-137.5,0.0,top
R6,87.0,-137.5,180.0,top
R7,123.6,-108.7,0.0,top
R8,123.6,-106.95,0.0,top
R9,81.5,-114.6,0.0,top
SW1,148.96,-111.475,0.0,bottom
U1,75.9,-100.0,90.0,bottom
U11,114.75,-135.25,0.0,bottom
U12,75.6875,-76.8,180.0,bottom
U13,68.231569,-105.824174,90.0,top
U2,100.0,-135.5,270.0,bottom
U3,87.5,-133.0,180.0,bottom
U4,128.2,-111.45,90.0,bottom
U5,137.1,-119.7,180.0,bottom
U6,137.6,-103.2,180.0,bottom
U7,139.0,-95.75,270.0,bottom
U8,133.9,-128.9,180.0,bottom
U9,59.0,-100.2,0.0,bottom
USBC1,100.0,-141.5,0.0,bottom
